Timestamp(ms),Current(uA),D0-D7
727.17,13819.402,00000000
727.18,13913.895,00000000
727.19,14008.437,00000000
727.2,14103.027,00000000
727.21,13913.895,00000000
727.22,14150.341,00000000
727.23,13961.159,00000000
727.24,14008.437,00000000
727.25,14245.006,00000000
727.26,14197.667,00000000
727.27,14150.341,00000000
727.28,13961.159,00000000
727.29,14245.006,00000000
727.3,14671.604,00000000
727.31,14434.482,00000000
727.32,14197.667,00000000
727.33,14055.726,00000000
727.34,14008.437,00000000
727.35,14103.027,00000000
727.36,13819.402,00000000
727.37,13866.643,00000000
727.38,14150.341,00000000
727.39,14103.027,00000000
727.4,14434.482,00000000
727.41,14103.027,00000000
727.42,14008.437,00000000
727.43,13913.895,00000000
727.44,14055.726,00000000
727.45,14150.341,00000000
727.46,13961.159,00000000
727.47,14245.006,00000000
727.48,14292.356,00000000
727.49,14339.720,00000000
727.5,14387.095,00000000
727.51,14292.356,00000000
727.52,14245.006,00000000
727.53,14150.341,00000000
727.54,14008.437,00000000
727.55,13961.159,00000000
727.56,13866.643,00000000
727.57,14008.437,00000000
727.58,13961.159,00000000
727.59,13630.565,00000000
727.6,13630.565,00000000
727.61,13961.159,00000000
727.62,14103.027,00000000
727.63,14150.341,00000000
727.64,14150.341,00000000
727.65,14387.095,00000000
727.66,14197.667,00000000
727.67,14150.341,00000000
727.68,14197.667,00000000
727.69,13961.159,00000000
727.7,13819.402,00000000
727.71,14055.726,00000000
727.72,14197.667,00000000
727.73,14339.720,00000000
727.74,14150.341,00000000
727.75,14245.006,00000000
727.76,14008.437,00000000
727.77,14055.726,00000000
727.78,14055.726,00000000
727.79,14150.341,00000000
727.8,14197.667,00000000
727.81,14103.027,00000000
727.82,14387.095,00000000
727.83,14150.341,00000000
727.84,14008.437,00000000
727.85,13866.643,00000000
727.86,14008.437,00000000
727.87,14197.667,00000000
727.88,14150.341,00000000
727.89,13913.895,00000000
727.9,13961.159,00000000
727.91,14197.667,00000000
727.92,14339.720,00000000
727.93,14103.027,00000000
727.94,14150.341,00000000
727.95,14245.006,00000000
